,Profession,Position,Join Date,Renewal Date,user_ID,chapter_ID,sponsor_ID
0,"Medical, Chiropractor",,01/07/2004,01/12/2010,982,22,
1,"Trades, Renovations-Remodeling",,01/02/2008,01/12/2008,860,22,
2,"Food/Beverages, Chef",,01/09/2010,01/12/2011,1970,22,
3,"Gifts, Gift Baskets",,01/03/2007,07/04/2008,898,22,898.0
4,"Mortgage, Mortgage Broker",,01/07/2007,01/07/2008,2204,22,
5,"Real estate services, Residential Real Estate Agent",,01/07/2007,01/04/2021,1465,22,
6,"Insurance, Life,Health and Disability Insurance",,01/07/2007,01/11/2009,2377,22,
7,"Financial, Investment Advisor",,01/07/2007,01/04/2009,2214,22,
8,"Health & Wellness, Massage Therapist",,01/07/2007,01/07/2008,832,22,
9,"Insurance, General-Motor Insurance",,01/10/2007,01/10/2008,715,22,898.0
10,"Information Technology, Web Design",,01/09/2007,01/05/2010,2596,22,
11,"Financial, Banker: Business Development /Loans",,01/10/2007,01/10/2008,1571,22,2081.0
12,"Marketing, Promotional Products",,01/10/2007,01/10/2008,2580,22,2172.0
13,"Financial, Business Financing",,24/03/2008,01/03/2009,413,22,2081.0
14,"Gifts, Gift Baskets",,01/03/2008,01/03/2009,1736,22,
15,"Insurance, Life,Health and Disability Insurance",,01/03/2008,01/12/2013,930,22,2088.0
16,"Information Technology, Web Hosting & Design",,01/03/2008,01/03/2009,2457,22,
17,"Legal, Lawyer Solicitor",,01/04/2008,01/04/2009,606,22,
18,"Health & Wellness, Fitness Trainer",,01/04/2008,01/04/2009,1089,22,
19,"Computer, Computer Sales & Service",,01/05/2008,01/09/2008,2615,22,
20,"Health & Wellness, Massage Therapist",,01/05/2008,01/05/2009,2041,22,
21,"Trades, Renovations-Remodeling",,21/05/2008,01/12/2008,914,22,
22,"Mortgage, Mortgage Agent",,01/04/2008,01/04/2016,739,22,
23,"Health & Wellness, Fitness Trainer",,01/05/2010,01/08/2011,196,22,
24,"Insurance, Group Benefits Consultant",,11/03/2010,01/05/2016,1557,22,
25,"Health & Wellness, Nutritional Supplements",,01/10/2008,01/04/2009,1952,22,
26,"Business, Business Broker",,01/10/2008,01/04/2009,2362,22,
27,"Accounting, Bookkeeper",,01/10/2008,01/09/2010,939,22,
28,"Health & Wellness, Health & Wellness Products",,01/02/2009,01/08/2010,1549,22,
29,"Insurance, Property & Casualty Insurance",,01/01/2009,01/02/2012,1425,22,
30,"Computer, Computer Repair",,01/05/2009,01/05/2011,1914,22,939.0
31,"Printing, Printer",,01/05/2009,01/05/2011,1461,22,
32,"Health & Wellness, Fitness Trainer",,01/05/2009,01/05/2010,2606,22,1425.0
33,"Coach, Business Coach",,01/05/2009,01/05/2016,436,22,930.0
34,"Cleaning, Residential Cleaning",,01/06/2009,01/08/2020,1850,22,930.0
35,"Legal, Lawyer Real Estate",,01/05/2009,01/07/2018,1331,22,739.0
36,"Computer, Computer Repair",,01/07/2009,24/07/2009,351,22,1914.0
37,"Unknown, BNIW_Null",,01/09/2009,01/09/2011,2635,22,1850.0
38,"Mortgage, Mortgage Agent",,01/08/2009,14/03/2011,2391,22,
39,"Information Technology, I.T. Specialist",,01/10/2009,01/04/2016,254,22,930.0
40,"Unknown, BNIW_Null",,01/09/2009,01/09/2010,2281,22,
41,"Real Estate, Home Staging",,01/11/2009,01/11/2010,2535,22,1461.0
42,"Travel, Travel Agent/Consultant",,01/11/2009,01/11/2012,387,22,
43,"Medical, Dental Hygienist",,01/12/2009,01/07/2020,517,22,254.0
44,"Speaking, Speaker",,01/01/2010,01/01/2018,2376,22,
45,"Trades, Heating & A/C",,01/03/2010,01/03/2011,1355,22,930.0
46,"Senior Services, In-Home Non-Medical Service",,01/03/2010,01/03/2011,909,22,1850.0
47,"Legal, Lawyer Family Law",,01/04/2010,01/04/2011,2589,22,1461.0
48,"Insurance, Life,Health and Disability Insurance",,01/05/2010,01/09/2014,2156,22,2376.0
49,"Real Estate, Real Estate Sales Representative Residential",,01/08/2010,01/08/2011,2129,22,1342.0
50,"Printing, Printing Services",,01/02/2011,01/10/2012,1165,22,
51,"Advertising, Print Advertising",,01/08/2010,25/08/2010,320,22,1425.0
52,"Alternative Medicine, Clinical Hypnotherapist",,14/12/2010,01/11/2012,495,22,
53,"Unknown, BNIW_Null",,01/09/2010,01/09/2011,609,22,1425.0
54,"Medical, Dentist",,01/09/2010,01/09/2011,134,22,2376.0
55,"Unknown, BNIW_Null",,01/08/2010,01/08/2011,1489,22,436.0
56,"Advertising, Print Advertising",,01/09/2010,01/09/2011,647,22,
