,Date/Time,Effective Drop Date,Reason,Drop Type,user_ID,chapter_ID
0,25 February 21 16:10:58,11/01/2021,Takes Too Much Time,Resigned,1936.0,11
1,24 February 21 18:59:39,24/02/2021,Personal Reasons,Resigned,1546.0,14
2,19 February 21 21:25:59,05/02/2021,Other Reason (see notes),Resigned,1622.0,15
3,19 February 21 21:24:00,16/02/2021,Other Reason (see notes),Resigned,2598.0,12
4,16 February 21 18:22:14,16/02/2021,Member Transferred BNI Chapters,Resigned,2760.0,5
5,11 February 21 16:12:59,11/02/2021,Other Reason (see notes),Resigned,1178.0,8
6,10 February 21 03:52:12,09/02/2021,No Reason Entered,Resigned,2699.0,28
7,4 February 21 23:42:18,01/02/2021,Member Transferred BNI Chapters,Resigned,2474.0,13
8,31 January 21 23:28:11,31/01/2021,Personal Reasons,Resigned,2462.0,30
9,30 January 21 07:12:08,01/12/2020,,System,1479.0,7
10,29 January 21 17:42:53,29/01/2021,Other Reason (see notes),Terminated,1123.0,23
11,29 January 21 17:40:55,29/01/2021,No Reason Entered,Terminated,2896.0,23
12,29 January 21 17:14:12,27/01/2021,Takes Too Much Time,Resigned,25.0,25
13,26 January 21 20:00:36,26/01/2021,*Economic Distress,Resigned,10.0,31
14,26 January 21 18:19:04,25/01/2021,Changed Job,Resigned,2784.0,25
15,25 January 21 16:08:47,09/12/2020,No Reason Entered,Resigned,451.0,11
16,18 January 21 18:21:15,04/01/2021,Left Company,Resigned,2566.0,5
17,18 January 21 17:14:14,01/12/2020,No Reason Entered,Resigned,1373.0,27
18,18 January 21 17:09:05,12/01/2021,No Reason Entered,Resigned,2068.0,27
19,14 January 21 19:22:50,06/01/2021,Other Reason (see notes),Resigned,2005.0,20
20,14 January 21 16:53:47,18/12/2020,Other Reason (see notes),Resigned,2203.0,12
21,14 January 21 16:53:32,18/12/2020,Other networking projects,Resigned,1905.0,12
22,14 January 21 16:53:22,18/12/2020,Other Reason (see notes),Resigned,178.0,12
