,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,3,1,0,0,0,1,1,4,0,1,2,0,5,790,1
1,4,0,0,0,0,1,0,4,4,0,0,0,2,733,1
2,4,0,0,0,0,2,2,0,0,0,4,557,5,2335,1
3,4,0,0,0,0,0,1,1,2,0,3,1050,7,1919,1
4,4,0,0,0,0,2,2,0,1,0,5,30,0,631,1
5,3,1,0,0,0,0,0,0,0,0,0,1170,0,2260,1
6,4,0,0,0,0,0,2,2,0,2,4,0,1,2114,1
7,4,0,0,0,0,1,1,0,1,0,2,304,1,313,1
8,4,0,0,0,0,0,2,0,0,0,3,58,2,1267,1
9,4,0,0,0,0,0,3,0,3,0,1,388,6,1870,1
10,4,0,0,0,0,1,1,0,3,0,6,0,6,1320,1
11,4,0,0,0,0,0,1,2,0,0,3,362,2,740,1
12,3,1,0,0,0,0,0,0,2,0,0,1103,0,1826,1
13,4,0,0,0,0,0,1,0,4,0,2,4300,3,1074,1
14,4,0,0,0,0,6,0,0,1,0,6,1000,5,2105,1
15,4,0,0,0,0,0,3,1,0,1,2,0,2,1226,1
16,4,0,0,0,0,0,0,0,1,1,4,1050,1,2162,1
17,4,0,0,0,0,0,0,0,0,0,0,0,0,1764,1
18,4,0,0,0,0,0,0,0,1,0,4,0,5,1978,1
19,3,0,0,0,1,1,3,0,0,0,1,4938,0,2471,1
20,4,0,0,0,0,0,1,1,1,1,4,0,0,941,1
21,5,0,0,0,0,0,3,0,2,0,5,554,0,945,3
22,5,0,0,0,0,0,1,1,0,0,11,85,5,288,3
23,5,0,0,0,0,2,2,1,1,1,10,0,4,2366,3
24,3,2,0,0,0,0,3,0,0,0,4,12545,2,207,3
25,4,0,0,0,1,0,3,1,5,0,10,1737,4,2415,3
26,4,1,0,0,0,0,4,0,8,1,4,720,0,540,3
27,5,0,0,0,0,1,6,0,6,0,6,6400,6,1617,3
28,4,0,0,0,1,0,1,0,1,0,3,0,0,1714,3
29,5,0,0,0,0,1,1,3,0,2,7,115,4,1224,3
30,4,1,0,0,0,0,3,0,0,0,7,0,0,2292,3
31,2,0,0,0,0,0,0,0,0,0,0,0,0,2797,3
32,3,1,1,0,0,1,0,0,4,0,2,303,4,1421,3
33,5,0,0,0,0,0,4,0,2,0,10,0,0,2612,3
34,4,1,0,0,0,0,4,0,0,0,5,680,0,1738,3
35,4,0,0,0,1,0,0,0,1,2,2,0,7,2791,3
36,5,0,0,0,0,0,3,0,1,2,2,570,8,2852,3
37,5,0,0,0,0,0,2,0,3,0,3,0,7,2014,3
38,4,0,0,1,0,0,0,0,3,0,3,0,0,554,3
39,5,0,0,0,0,0,7,0,0,1,2,1234,7,2764,3
40,4,1,0,0,0,0,0,0,2,0,3,0,7,5,3
41,2,2,0,0,0,0,0,0,0,0,2,0,0,658,3
42,5,0,0,0,0,0,4,0,2,2,6,10705,7,979,3
43,5,0,0,0,0,0,2,0,11,0,20,0,7,556,3
44,4,0,0,0,1,0,0,0,6,0,6,0,4,751,3
45,5,0,0,0,0,0,0,0,0,0,4,850,5,851,3
46,4,0,0,0,1,0,0,1,0,1,5,443,9,1708,3
47,5,0,0,0,0,0,2,0,1,0,6,5212,3,2640,3
48,5,0,0,0,0,4,8,0,5,1,11,629,5,1551,3
49,3,0,0,0,1,1,2,0,0,0,0,3473,1,1229,5
50,3,1,0,0,0,0,2,1,11,0,11,4306,7,682,5
51,3,1,0,0,0,1,8,2,7,0,12,956,9,1248,5
52,4,0,0,0,0,3,2,2,3,0,4,1598,1,1681,5
53,4,0,0,0,0,1,14,3,49,0,8,7287,6,2184,5
54,3,0,0,0,0,0,0,0,0,0,0,150,0,337,5
55,4,0,0,0,0,0,4,1,2,0,4,651,7,1812,5
56,2,1,0,0,1,1,5,0,3,0,0,11112,2,1616,5
57,3,0,1,0,0,0,6,0,5,0,13,19626,6,45,5
58,3,1,0,0,0,6,7,3,17,0,4,4701,2,1509,5
59,4,0,0,0,0,3,4,2,4,0,7,2245,10,824,5
60,4,0,0,0,0,1,3,1,4,0,11,1038,8,282,5
61,4,0,0,0,0,2,6,0,2,1,6,2368,4,2721,5
62,4,0,0,0,0,2,6,2,9,1,5,5556,2,948,5
63,4,0,0,0,0,1,8,1,2,2,4,1441,14,2760,5
64,4,0,0,0,0,0,4,1,6,0,0,3401,1,2083,5
65,4,0,0,0,0,0,4,2,6,0,8,726,10,2529,5
66,4,0,0,0,0,0,0,0,0,0,0,40,0,2910,5
67,3,1,0,0,0,0,5,0,2,0,0,3284,3,1964,5
68,3,1,0,0,0,2,5,1,0,1,9,11749,5,1192,5
69,4,0,0,0,0,0,7,1,2,1,3,4026,8,2336,5
70,3,0,1,0,0,0,8,0,1,0,3,14883,2,1251,5
71,4,0,0,0,0,1,1,1,5,0,12,79,4,16,5
72,4,0,0,0,0,1,13,1,5,0,11,3780,10,1362,5
73,4,0,0,0,0,4,5,0,4,0,4,1292,5,1048,5
74,4,0,0,0,0,2,2,1,4,0,16,1729,2,1879,5
75,4,0,0,0,0,3,6,0,0,1,5,7544,2,1470,5
76,3,0,0,0,1,3,8,0,3,0,2,11224,0,2063,5
77,4,0,0,0,0,2,5,1,1,0,7,2434,6,1837,5
78,4,0,0,0,0,1,4,0,5,0,4,3754,3,2398,5
79,4,0,0,0,0,1,14,1,9,0,6,5978,4,2774,5
80,2,0,2,0,0,1,3,0,5,0,0,1928,2,2916,5
81,4,0,0,0,0,0,5,0,3,1,6,18772,6,1211,5
82,3,0,0,0,1,3,4,3,3,0,5,121564,4,2475,5
83,4,0,0,0,0,2,4,0,4,0,6,644,6,1533,5
84,4,0,0,0,0,2,14,1,2,0,8,11605,4,2840,5
85,4,0,0,0,0,2,1,0,1,0,0,0,0,633,5
86,2,2,0,0,0,2,0,0,1,0,4,563,0,106,5
87,4,0,0,0,0,0,3,0,3,2,2,2416,6,221,5
88,4,0,0,0,0,1,4,0,0,0,2,2042,2,152,5
89,4,0,0,0,0,0,1,1,1,0,4,0,0,1853,8
90,4,0,0,0,0,0,5,0,6,0,21,59199,0,2539,8
91,4,0,0,0,0,0,1,0,4,1,5,0,1,475,8
92,4,0,0,0,0,1,3,0,1,1,5,5852,0,947,8
93,3,1,0,0,0,0,1,1,0,0,8,1955,0,2641,8
94,3,0,0,0,1,4,3,0,2,1,6,850,7,1614,8
95,4,0,0,0,0,1,6,0,3,0,5,90,0,1895,8
96,4,0,0,0,0,0,4,0,5,1,12,0,0,2742,8
97,3,1,0,0,0,1,2,3,16,0,8,490,0,2577,8
98,4,0,0,0,0,0,0,0,0,0,5,0,2,1819,8
99,4,0,0,0,0,1,4,0,3,1,5,2015,4,2191,8
100,4,0,0,0,0,0,15,0,0,0,14,2430,0,202,8
101,4,0,0,0,0,0,1,0,3,0,7,4500,2,1318,8
102,4,0,0,0,0,1,0,1,1,1,3,1730,0,1236,8
103,1,0,0,2,1,0,0,2,0,0,2,0,0,2786,8
104,4,0,0,0,0,1,7,0,3,2,3,945,0,1033,8
105,4,0,0,0,0,1,2,0,3,0,6,850,3,2495,8
106,3,1,0,0,0,1,4,0,3,0,4,86,0,1286,8
107,4,0,0,0,0,5,1,1,10,1,21,0,1,2543,8
108,3,1,0,0,0,0,1,0,1,0,4,339,0,895,8
109,3,1,0,0,0,0,0,1,0,0,2,0,6,2205,8
110,0,0,0,3,1,0,0,0,1,0,1,0,0,2697,8
111,3,1,0,0,0,0,0,0,1,0,3,0,1,420,8
112,4,0,0,0,0,1,7,0,0,0,6,370,0,727,8
113,3,0,0,0,1,2,3,3,1,0,1,1725,0,1299,8
114,1,3,0,0,0,0,0,0,1,0,0,600,0,602,8
115,4,0,0,0,0,1,3,0,3,0,11,1250,5,2328,8
116,3,0,0,0,1,0,1,4,1,0,1,121,0,1140,8
117,1,0,0,0,0,0,0,0,1,0,0,0,0,752,8
118,3,0,0,0,1,0,2,1,0,0,0,2490,0,2112,8
119,3,1,0,0,0,2,2,7,10,0,5,9382,0,2080,8
120,3,1,0,0,0,4,3,1,4,0,6,965,2,2868,8
121,4,0,0,0,0,0,2,0,0,3,4,1500,7,2901,8
122,4,0,0,0,0,1,2,3,4,0,6,57,7,2279,8
123,1,0,0,0,0,0,0,0,0,0,0,0,0,11,8
124,3,1,0,0,0,0,1,2,3,0,4,4,8,1102,9
125,2,1,0,0,1,0,0,0,2,0,2,726,0,1032,9
126,4,0,0,0,0,1,2,2,13,0,4,394,0,1996,9
127,4,0,0,0,0,0,5,0,0,1,6,11382,9,1541,9
128,4,0,0,0,0,3,2,1,1,0,4,1998,0,488,9
129,3,0,1,0,0,0,4,0,6,1,10,5250,1,411,9
